Pos,Game,Game.1,Console,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Unnamed: 10_level_2,Genero,Plataforma
1,,Pokémon Red / Green / Blue Version,,31.37m,11.27m,8.89m,10.22m,1.00m,30th Sep 98,,Role-Playing,GB
2,,Pokémon Gold / Silver Version,,23.10m,9.00m,6.18m,7.20m,0.71m,14th Oct 00,,Role-Playing,GB
3,,Pokémon Yellow: Special Pikachu Edition,,14.64m,5.89m,5.04m,3.12m,0.59m,19th Oct 99,,Role-Playing,GB
4,,Dragon Quest Monsters,,2.35m,,,2.34m,0.01m,31st Dec 99,,Role-Playing,GB
5,,Yu-Gi-Oh: Duel Monsters 4,,2.18m,,,2.17m,0.01m,07th Dec 00,,Role-Playing,GB
6,,Dragon Quest Monsters 2: Cobi's Journey,,1.56m,,,1.56m,0.00m,15th Sep 01,,Role-Playing,GB
7,,The Final Fantasy Legend,,1.10m,,,1.10m,0.00m,01st Sep 90,,Role-Playing,GB
8,,Dragon Quest III,,0.81m,,,0.81m,0.00m,16th Jul 01,,Role-Playing,GB
9,,Dragon Warrior I&II,,0.77m,,,0.77m,,27th Sep 00,,Role-Playing,GB
10,,Final Fantasy Legend III,,0.76m,,,0.76m,,29th Sep 93,,Role-Playing,GB
11,,Medarot 2: Kabuto / Kuwagata Version,,0.54m,,,0.54m,0.00m,23rd Jul 99,,Role-Playing,GB
12,,Medarot: Kabuto / Kuwagata Version,,0.40m,,,0.40m,0.00m,28th Nov 97,,Role-Playing,GB
13,,Dragon Warrior Monsters 2: Tara's Adventure,,0.40m,,,0.40m,,15th Sep 01,,Role-Playing,GB
14,,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,,0.39m,,,0.39m,,27th Apr 01,,Role-Playing,GB
15,,Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,,0.27m,,,0.27m,,22nd Nov 96,,Role-Playing,GB
16,,Medarot 3: Kabuto / Kuwagata Version,,0.27m,,,0.27m,0.00m,23rd Jul 00,,Role-Playing,GB
17,,Yu-Gi-Oh! Monster Capture GB,,0.14m,,,0.14m,,13th Apr 00,,Role-Playing,GB
18,,Tales of Phantasia: Narikiri Dungeon,,,,,,,10th Nov 00,,Role-Playing,GB
19,,Star Ocean: Blue Sphere,,0.14m,,,0.14m,0.00m,28th Jun 01,,Role-Playing,GB
20,,Medarot 4: Kabuto / Kuwagata Version,,0.12m,,,0.12m,,23rd Mar 01,,Role-Playing,GB
21,,Akazukin ChaCha,,,,,,,28th Apr 95,,Role-Playing,GB
22,,Animal Breeder 3,,,,,,,24th Jun 99,,Role-Playing,GB
23,,Animal Breeder 4,,,,,,,01st Jan 01,,Role-Playing,GB
24,,Animastar GB,,,,,,,30th Mar 01,,Role-Playing,GB
25,,Another Bible,,,,,,,03rd Mar 95,,Role-Playing,GB
26,,Aretha,,,,,,,16th Nov 90,,Role-Playing,GB
27,,Aretha II,,,,,,,27th Sep 91,,Role-Playing,GB
28,,Aretha III,,,,,,,16th Oct 92,,Role-Playing,GB
29,,Arle no Bouken: Mahou no Jewel,,,,,,,31st Mar 00,,Role-Playing,GB
30,,Azure Dreams,,,,,,,01st Jan 99,,Role-Playing,GB
31,,B-Daman Baku Gaiden V: Final Mega Tune,,,,,,,04th Feb 00,,Role-Playing,GB
32,,B-Daman Baku Gaiden: Victory e no Michi,,,,,,,29th Jan 99,,Role-Playing,GB
33,,Bakuchou Retrieve Master,,,,,,,15th Oct 98,,Role-Playing,GB
34,,Bakukyuu Renpatsu!! Super B-Daman Gekitan! Rising Valkyrie!,,,,,,,24th Mar 00,,Role-Playing,GB
35,,Barcode Taisen Bardigun,,,,,,,11th Dec 98,,Role-Playing,GB
36,,BikkuriMan 2000 Charging Card GB,,,,,,,10th Jun 00,,Role-Playing,GB
37,,Bomberman Quest,,,,,,,01st Nov 99,,Role-Playing,GB
38,,Brave Saga Shinshou Astaria,,,,,,,26th Jan 01,,Role-Playing,GB
39,,Casper (GBC),,,,,,,01st May 00,,Role-Playing,GB
40,,Cave Noire,,,,,,,19th Apr 91,,Role-Playing,GB
41,,Chacha-Maru Boukenki 3: Abyss no Tou,,,,,,,02nd Aug 91,,Role-Playing,GB
42,,Chalvo 55,,,,,,,21st Feb 97,,Role-Playing,GB
43,,Chibi Maruko-Chan Okozukai Daisakusen!,,,,,,,07th Dec 90,,Role-Playing,GB
44,,Choro Q Hyper,,,,,,,30th Jul 99,,Role-Playing,GB
45,,Chou Majin Eiyuuden Wataru: Mazekko Monster,,,,,,,12th Dec 97,,Role-Playing,GB
46,,Chou Majin Eiyuuden Wataru: Mazekko Monster 2,,,,,,,07th Aug 98,,Role-Playing,GB
47,,Command Master,,,,,,,22nd Nov 00,,Role-Playing,GB
48,,Crystalis,,,,,,,26th Jun 00,,Role-Playing,GB
49,,Dokapon?! Millennium Quest,,,,,,,14th Jul 00,,Role-Playing,GB
50,,Doraemon: Kimito Pet no Monogatari,,,,,,,16th Mar 01,,Role-Playing,GB
51,,Dragon Ball Z: Goku Gekitouden,,,,,,,25th Aug 95,,Role-Playing,GB
52,,Dragon Ball Z: Goku Hishouden,,,,,,,25th Nov 94,,Role-Playing,GB
53,,Dragon Ball Z: Legendary Super Warriors,,,,,,,08th Nov 02,,Role-Playing,GB
54,,Dragon Slayer Gaiden,,,,,,,06th Mar 92,,Role-Playing,GB
55,,Dragon Slayer I,,,,,,,12th Aug 90,,Role-Playing,GB
56,,Dungeon Savior,,,,,,,04th Aug 00,,Role-Playing,GB
57,,Elie no Atelier GB,,,,,,,08th Jan 00,,Role-Playing,GB
58,,Final Fantasy Legend II,,,,,,,01st Nov 91,,Role-Playing,GB
59,,From TV Animation One Piece: Maboroshi no Grand Line Boukenki!,,,,,,,28th Jun 02,,Role-Playing,GB
60,,Fushigi no Dungeon: Fuurai no Shiren GB2: Sabaku no Majou,,,,,,,19th Jul 01,,Role-Playing,GB
61,,Ganbare Goemon: Tengu-to no Gyuakushu!,,,,,,,14th Jan 99,,Role-Playing,GB
62,,GB Harobots,,,,,,,01st Dec 00,,Role-Playing,GB
63,,Gegege no Kitarou,,,,,,,13th Dec 96,,Role-Playing,GB
64,,God Medicine,,,,,,,20th Jul 93,,Role-Playing,GB
65,,Grandia: Parallel Trippers,,,,,,,22nd Dec 00,,Role-Playing,GB
66,,Great Greed,,,,,,,01st Jan 93,,Role-Playing,GB
67,,GuruGuru Garakutaz,,,,,,,10th Sep 99,,Role-Playing,GB
68,,Gyouten Ningen Batseelor: Doctor Guy no Yabou,,,,,,,01st Nov 01,,Role-Playing,GB
69,,Harry Potter and the Chamber of Secrets,,,,,,,05th Nov 02,,Role-Playing,GB
70,,Heracles no Eikou: Ugokidashita Kamigami,,,,,,,27th Dec 92,,Role-Playing,GB
71,,Hercules: The Legendary Journeys,,,,,,,01st Apr 02,,Role-Playing,GB
72,,Hitori de Dekirumon! Cooking Densetsu,,,,,,,18th Dec 92,,Role-Playing,GB
73,,Jikuu Senki Mu,,,,,,,13th Sep 91,,Role-Playing,GB
74,,Jisedai Beegoma Battle Beyblade,,,,,,,23rd Jul 99,,Role-Playing,GB
75,,John Romero's Daikatana,,,,,,,30th Jun 00,,Role-Playing,GB
76,,Jungle Wars,,,,,,,21st Jun 91,,Role-Playing,GB
77,,Kaseki Sousei Reborn,,,,,,,17th Jul 98,,Role-Playing,GB
78,,Kaseki Sousei Reborn II: Monster Digger,,,,,,,12th Feb 99,,Role-Playing,GB
79,,Kawaii Pet Shop Monogatari,,,,,,,23rd Sep 99,,Role-Playing,GB
80,,Kawaii Pet Shop Monogatari 2,,,,,,,22nd Dec 00,,Role-Playing,GB
81,,Kininkou Maroku Oni,,,,,,,08th Dec 90,,Role-Playing,GB
82,,Knight's Quest,,,,,,,02nd Jul 92,,Role-Playing,GB
83,,Konchuu Hakase,,,,,,,28th Aug 98,,Role-Playing,GB
84,,Konchuu Hakase 2,,,,,,,23rd Jul 99,,Role-Playing,GB
85,,Konchuu Hakase 3,,,,,,,27th Jul 01,,Role-Playing,GB
86,,Kotobattle: Tengai no Moribito,,,,,,,09th Mar 01,,Role-Playing,GB
87,,Koukiatsu Boy,,,,,,,02nd Jul 98,,Role-Playing,GB
88,,Legend,,,,,,,01st Jun 91,,Role-Playing,GB
89,,Lufia: The Legend Returns,,,,,,,20th Sep 01,,Role-Playing,GB
90,,Magi Nation,,,,,,,01st Mar 01,,Role-Playing,GB
91,,Mahou Kishi Rayearth,,,,,,,02nd Jun 95,,Role-Playing,GB
92,,Mahou Kishi Rayearth 2nd: The Missing Colors,,,,,,,27th Oct 95,,Role-Playing,GB
93,,Mahoujin GuruGuru,,,,,,,28th Apr 95,,Role-Playing,GB
94,,Marie no Atelier GB,,,,,,,08th Jan 00,,Role-Playing,GB
95,,Medarot 2: Parts Collection,,,,,,,29th Oct 99,,Role-Playing,GB
96,,Medarot 3 Parts Collection: Z Kara no Chousenjou,,,,,,,24th Nov 00,,Role-Playing,GB
97,,Medarot 5: Susutake Mura no Tenkousei: Kabuto / Kuwagata Version,,,,,,,14th Dec 01,,Role-Playing,GB
98,,Medarot: Card Robottle Kabuto / Kuwagata Version,,,,,,,10th Mar 00,,Role-Playing,GB
99,,Medarot: Parts Collection,,,,,,,20th Mar 98,,Role-Playing,GB
100,,Medarot: Parts Collection 2,,,,,,,29th May 98,,Role-Playing,GB
101,,Megami Tensei Gaiden: Last Bible,,,,,,,25th Dec 92,,Role-Playing,GB
102,,Megami Tensei Gaiden: Last Bible II,,,,,,,19th Nov 93,,Role-Playing,GB
103,,Megami Tensei Gaiden: Last Bible II (GBC),,,,,,,16th Apr 99,,Role-Playing,GB
104,,Metal Walker,,,,,,,01st Feb 01,,Role-Playing,GB
105,,Metamode,,,,,,,24th Feb 00,,Role-Playing,GB
106,,Momotarou Densetsu 1-2,,,,,,,01st Jan 01,,Role-Playing,GB
107,,Monster * Race,,,,,,,06th Mar 98,,Role-Playing,GB
108,,Monster * Race 2,,,,,,,12th Mar 99,,Role-Playing,GB
109,,Monster * Race Okawari,,,,,,,02nd Oct 98,,Role-Playing,GB
110,,Monster Maker,,,,,,,22nd Dec 90,,Role-Playing,GB
111,,Monster Maker 2: Uru no Hiten,,,,,,,19th Mar 93,,Role-Playing,GB
112,,Monster Maker: Barcode Saga,,,,,,,10th Aug 93,,Role-Playing,GB
113,,Mysterium,,,,,,,02nd Jan 93,,Role-Playing,GB
114,,Mystical Ninja starring Goemon,,,,,,,01st Apr 98,,Role-Playing,GB
115,,Ninja Taro,,,,,,,01st Sep 92,,Role-Playing,GB
116,,Nintama Rantarou GB,,,,,,,27th Dec 95,,Role-Playing,GB
117,,Oni II: Innin Densetsu,,,,,,,28th Feb 92,,Role-Playing,GB
118,,Oni III: Kuro no Hakaigami,,,,,,,26th Feb 93,,Role-Playing,GB
119,,Oni IV: Kishin no Ketsuzoku,,,,,,,11th Mar 94,,Role-Playing,GB
120,,Oni V: Innin no Tsugumono,,,,,,,24th Mar 95,,Role-Playing,GB
121,,Otogi Banashi Taisen,,,,,,,04th Aug 95,,Role-Playing,GB
122,,Ou Dorobou Jing: Angel / Devil Version,,,,,,,12th Mar 99,,Role-Playing,GB
123,,Ranma 1/2: Kagugeki Mondou!!,,,,,,,06th Aug 93,,Role-Playing,GB
124,,Revelations: The Demon Slayer,,,,,,,27th Aug 99,,Role-Playing,GB
125,,Robopon: Sun Version,,,,,,,14th Dec 00,,Role-Playing,GB
126,,Rolan's Curse,,,,,,,01st Jan 91,,Role-Playing,GB
127,,Rolan's Curse 2,,,,,,,01st Oct 92,,Role-Playing,GB
128,,RPG Tsukuru GB,,,,,,,17th Mar 00,,Role-Playing,GB
129,,Saint Paradise,,,,,,,13th Nov 92,,Role-Playing,GB
130,,Sanrio Time Net: Kako / Mirai,,,,,,,27th Nov 98,,Role-Playing,GB
131,,SD Gundam Gaiden: Lacroan Heroes,,,,,,,06th Oct 90,,Role-Playing,GB
132,,Seme COM Dungeon: Drururuaga,,,,,,,15th Dec 00,,Role-Playing,GB
133,,Senkai Ibunroku Juuntsutsumi Taisen,,,,,,,24th Nov 00,,Role-Playing,GB
134,,Shadowgate Classic,,,,,,,01st Jan 99,,Role-Playing,GB
135,,Shin Megami Tensei: Devil Children: Aka no Sho,,,,,,,17th Nov 00,,Role-Playing,GB
136,,Shin Megami Tensei: Devil Children: Kuro no Sho,,,,,,,17th Nov 00,,Role-Playing,GB
137,,Shin Megami Tensei: Devil Children: Shiro no Sho,,,,,,,27th Jul 01,,Role-Playing,GB
138,,Shin SD Gundam Gaiden: Knight Gundam Monogatari,,,,,,,09th Sep 94,,Role-Playing,GB
139,,Shounen Ashibe: Yuuenchi Panic,,,,,,,27th Sep 91,,Role-Playing,GB
140,,Soreike! Anpanman: Fushigi na Nikoniko Album,,,,,,,03rd Dec 99,,Role-Playing,GB
141,,Soul Getter: Houkago Bouken RPG,,,,,,,04th Aug 00,,Role-Playing,GB
142,,Spacenet: Cosmo Red / Blue,,,,,,,16th Mar 01,,Role-Playing,GB
143,,Spiritual Warfare,,,,,,,01st Jan 92,,Role-Playing,GB
144,,Spud's Adventure,,,,,,,01st Jun 91,,Role-Playing,GB
145,,Sword of Hope II,,,,,,,01st Sep 96,,Role-Playing,GB
146,,Sylvanian Families 2: Irozuku Mori no Fantasy,,,,,,,22nd Dec 00,,Role-Playing,GB
147,,Sylvanian Families 3: Hoshifuru Yoru no Sunatokei,,,,,,,21st Dec 01,,Role-Playing,GB
148,,Sylvanian Families: Otogi no Kuni no Pendant,,,,,,,15th Oct 99,,Role-Playing,GB
149,,Tabaluga,,,,,,,03rd May 99,,Role-Playing,GB
150,,The Black Onyx,,,,,,,02nd Mar 01,,Role-Playing,GB
151,,The Great Battle Pocket,,,,,,,03rd Dec 99,,Role-Playing,GB
152,,The Sword of Hope,,,,,,,01st Jun 91,,Role-Playing,GB
153,,The Tower of Druaga,,,,,,,31st Dec 90,,Role-Playing,GB
154,,Towers: Lord Baniff's Deceit,,,,,,,20th Jun 00,,Role-Playing,GB
155,,Twin,,,,,,,31st Jan 92,,Role-Playing,GB
156,,Uchuujin Tanaka Tarou de RPG Tsukuuru GB2,,,,,,,20th Jul 01,,Role-Playing,GB
157,,Ultima: Runes of Virtue,,,,,,,01st Jul 92,,Role-Playing,GB
158,,Ultima: Runes of Virtue II,,,,,,,01st Mar 94,,Role-Playing,GB
159,,Undercover Cops Gaiden: Hakaishin Garumaa,,,,,,,10th Dec 93,,Role-Playing,GB
160,,Urusei Yatsura: Miss Tomobiki o Chigase!,,,,,,,03rd Jul 92,,Role-Playing,GB
161,,Wizardry Empire,,,,,,,29th Oct 99,,Role-Playing,GB
162,,Wizardry Empire: Fukkatsu no Tsue,,,,,,,22nd Dec 00,,Role-Playing,GB
163,,Wizardry Gaiden 2,,,,,,,,,Role-Playing,GB
164,,Wizardry Gaiden I: Joou no Junan,,,,,,,01st Oct 91,,Role-Playing,GB
165,,Wizardry Gaiden II: Kodai Kotei no Noroi,,,,,,,26th Dec 92,,Role-Playing,GB
166,,Wizardry Gaiden III: Yama no Seiten,,,,,,,25th Sep 93,,Role-Playing,GB
167,,Wizardry II: Llygamyn no Isan,,,,,,,23rd Feb 01,,Role-Playing,GB
168,,Wizardry III: Diamond no Kishi,,,,,,,23rd Feb 01,,Role-Playing,GB
169,,Wizardry: Proving Grounds of the Mad Overlord,,,,,,,23rd Feb 01,,Role-Playing,GB
170,,Xerd no Densetsu,,,,,,,18th Oct 91,,Role-Playing,GB
171,,Xerd no Densetsu 2: Xerd!! Gishin no Ryouiki,,,,,,,19th Feb 93,,Role-Playing,GB
172,,Zoids: Jashin Fukkatsu! Genobreaker Hen,,,,,,,04th Aug 00,,Role-Playing,GB
173,,Zoids: Shirogane no Juukishin Liger Zero,,,,,,,15th Jun 01,,Role-Playing,GB
174,,Zok Zok Heroes,,,,,,,04th Aug 00,,Role-Playing,GB
1,,Harry Potter and the Sorcerer's Stone,,1.73m,0.94m,0.62m,0.10m,0.07m,21st Nov 01,,Action,GB
2,,Metal Gear Solid,,0.07m,,,0.07m,,24th Apr 00,,Action,GB
3,,Teenage Mutant Ninja Turtles II: Back from the Sewers,,0.06m,,,0.06m,,01st Dec 91,,Action,GB
4,,007: The World is not Enough,,,,,,,11th Sep 01,,Action,GB
5,,Absolute X,,,,,,,03rd Aug 01,,Action,GB
6,,Action Man: Search for Base X,,,,,,,06th Feb 01,,Action,GB
7,,After Burst,,,,,,,26th Oct 90,,Action,GB
8,,Alien 3,,,,,,,01st Jan 93,,Action,GB
9,,Alien vs. Predator: The Last of His Clan,,,,,,,01st Nov 93,,Action,GB
10,,Aliens: Thanatos Encounter,,,,,,,30th Mar 01,,Action,GB
11,,Amazing Penguin,,,,,,,01st Dec 90,,Action,GB
12,,Amida,,,,,,,23rd Oct 90,,Action,GB
13,,Antz,,,,,,,01st Oct 99,,Action,GB
14,,Army Men,,,,,,,29th Feb 00,,Action,GB
15,,Army Men 2,,,,,,,01st Feb 00,,Action,GB
16,,Army Men: Air Combat,,,,,,,01st Nov 00,,Action,GB
17,,Army Men: Sarge's Heroes 2,,,,,,,01st Nov 00,,Action,GB
18,,Attack of the Killer Tomatoes,,,,,,,01st Jan 92,,Action,GB
19,,"Austin Powers: Oh, Behave!",,,,,,,17th Sep 00,,Action,GB
20,,Austin Powers: Welcome To My Underground Lair!,,,,,,,18th Sep 00,,Action,GB
21,,Azarashi Sentai Inazuma: Doki Doki Daisakusen!?,,,,,,,29th Mar 02,,Action,GB
22,,Babe and Friends,,,,,,,30th Nov 99,,Action,GB
23,,Bad Batsumaru: Robo Battle,,,,,,,10th Aug 01,,Action,GB
24,,Bakuten Shoot Beyblade,,,,,,,27th Jul 01,,Action,GB
25,,Balloon Fight GB,,,,,,,31st Jul 00,,Action,GB
26,,Barbie Fashion Pack,,,,,,,01st Sep 00,,Action,GB
27,,Barbie: Magic Genie Adventure,,,,,,,11th Nov 00,,Action,GB
28,,Barbie: Ocean Discovery,,,,,,,01st May 99,,Action,GB
29,,Batman Beyond: Return of the Joker,,,,,,,20th Nov 00,,Action,GB
30,,Batman Forever,,,,,,,01st Jan 95,,Action,GB
31,,Batman: Chaos in Gotham,,,,,,,16th Apr 01,,Action,GB
32,,Batman: The Animated Series,,,,,,,01st Nov 93,,Action,GB
33,,Battle Bull,,,,,,,01st Jan 91,,Action,GB
34,,Battle City,,,,,,,09th Aug 91,,Action,GB
35,,BattleTanx,,,,,,,13th Apr 00,,Action,GB
36,,Battletoads,,,,,,,01st Nov 91,,Action,GB
37,,Battletoads / Double Dragon,,,,,,,01st Dec 93,,Action,GB
38,,Battletoads in Ragnarok's World,,,,,,,01st Jun 93,,Action,GB
39,,Beavis and Butt-head,,,,,,,01st Jan 99,,Action,GB
40,,Beethoven: The Ultimate Canine Caper,,,,,,,01st Jul 89,,Action,GB
41,,BeyBlade Fighting Tournament,,,,,,,11th Aug 00,,Action,GB
42,,Bionic Battler,,,,,,,02nd Jan 92,,Action,GB
43,,Bionic Commando: Elite Forces,,,,,,,01st Jan 99,,Action,GB
44,,Bishoujo Senshi Sailor Moon,,,,,,,18th Dec 92,,Action,GB
45,,Bishoujo Senshi Sailor Moon R,,,,,,,22nd Apr 94,,Action,GB
46,,Black Forest Tale,,,,,,,01st Jan 93,,Action,GB
47,,Blade,,,,,,,20th Nov 00,,Action,GB
48,,Blaster Master Boy,,,,,,,01st Feb 92,,Action,GB
49,,Blaster Master: Enemy Below,,,,,,,24th Sep 00,,Action,GB
50,,Bob the Builder: Fix it Fun!,,,,,,,01st Sep 01,,Action,GB
51,,Booby Boys,,,,,,,25th Jun 93,,Action,GB
52,,Boomer's Adventure in Asmik World,,,,,,,01st Apr 90,,Action,GB
53,,Bram Stoker's Dracula,,,,,,,01st Sep 93,,Action,GB
54,,Bubble Ghost,,,,,,,01st Nov 90,,Action,GB
55,,Buffy the Vampire Slayer,,,,,,,01st Sep 00,,Action,GB
56,,BurgerTime Deluxe,,,,,,,01st Mar 91,,Action,GB
57,,Buster Bros.,,,,,,,01st Jan 93,,Action,GB
58,,Buzz Lightyear of Star Command,,,,,,,01st Nov 00,,Action,GB
59,,Captain America and the Avengers,,,,,,,01st Feb 94,,Action,GB
60,,Captain Knick-Knack,,,,,,,01st Jan 99,,Action,GB
61,,Casper,,,,,,,01st Nov 96,,Action,GB
62,,Castle Conquerer: Revolution,,,,,,,,,Action,GB
63,,Chacha-Maru Panic,,,,,,,19th Apr 91,,Action,GB
64,,Chee-Chai Alien,,,,,,,23rd Feb 01,,Action,GB
65,,Chibi Maruko-Chan 3: Mezase! Game Taishou no Maki,,,,,,,27th Mar 92,,Action,GB
66,,Chibi Maruko-Chan: Go Chounai Minna de Game Dayo!,,,,,,,10th Aug 01,,Action,GB
67,,Chousoku Spinner,,,,,,,18th Sep 98,,Action,GB
68,,Crayon Shin-Chan 2: Ora to Wanpaku Gokko Dazo,,,,,,,22nd Oct 93,,Action,GB
69,,Crayon Shin-Chan 3: Ora no Gokigen Athletic,,,,,,,26th Mar 94,,Action,GB
70,,Crayon Shin-Chan 4: Ora no Itazura Dai Henshin,,,,,,,26th Aug 94,,Action,GB
71,,Crayon Shin-Chan: Ora no Gokiken Colleciton,,,,,,,20th Dec 96,,Action,GB
72,,Croc,,,,,,,07th Jun 00,,Action,GB
73,,Cross Hunter,,,,,,,12th Apr 01,,Action,GB
74,,Cutthroat Island,,,,,,,01st Jan 96,,Action,GB
75,,Cyborg Kuro-Chan 2: White Woods no Gyakushuu,,,,,,,19th Oct 00,,Action,GB
76,,Cyborg Kuro-Chan: Devil Fukkatsu!!,,,,,,,23rd Mar 00,,Action,GB
77,,Cyraid,,,,,,,01st Mar 91,,Action,GB
78,,Darkman,,,,,,,01st Dec 92,,Action,GB
79,,Dick Tracy,,,,,,,01st Dec 91,,Action,GB
80,,Die Maus,,,,,,,01st Jan 99,,Action,GB
81,,Disney's Tarzan,,,,,,,24th Jun 99,,Action,GB
82,,Disney's The Lion King: Simba's Mighty Adventure,,,,,,,29th Dec 00,,Action,GB
83,,Doraemon,,,,,,,01st Mar 91,,Action,GB
84,,Doraemon 2: Animal Wakusei Densetsu,,,,,,,19th Dec 92,,Action,GB
85,,Doraemon Memories: Nobi Dai no Omoi Izaru Daibouken,,,,,,,10th Mar 00,,Action,GB
86,,Doraemon no GameBoy de Asobouyo DX10,,,,,,,27th Nov 98,,Action,GB
87,,Doraemon: Aruke Aruke Labyrinth,,,,,,,23rd Jul 99,,Action,GB
88,,Double Dragon,,,,,,,01st Jan 89,,Action,GB
89,,Double Dragon 3: The Arcade Game,,,,,,,01st Aug 92,,Action,GB
90,,Double Dragon II,,,,,,,01st Jan 91,,Action,GB
91,,Downtown Nekketsu Koushinkyoku: Dokodemo Daiundoukai,,,,,,,24th Jul 92,,Action,GB
92,,Downtown Special: Kunio-Kun no Jidaigeki dayo Zenin Shuugou,,,,,,,22nd Dec 93,,Action,GB
93,,DragonHeart: Fire & Steel,,,,,,,01st May 96,,Action,GB
94,,Driver,,,,,,,10th May 00,,Action,GB
95,,Fish Dude,,,,,,,01st Apr 91,,Action,GB
96,,Fort Boyard,,,,,,,09th Nov 01,,Action,GB
97,,Frisky Tom,,,,,,,14th Jul 95,,Action,GB
98,,Frogger,,,,,,,01st Aug 98,,Action,GB
99,,Frogger (GBC),,,,,,,31st Dec 98,,Action,GB
100,,G-Arms: Operation Gundam,,,,,,,18th May 91,,Action,GB
101,,Gauntlet II,,,,,,,01st Sep 91,,Action,GB
102,,GB Genjin Land: Viva! Chikkun Oukoku,,,,,,,22nd Apr 94,,Action,GB
103,,Gear Works,,,,,,,01st Oct 93,,Action,GB
104,,Genki Bakuhatsu Ganbaruga,,,,,,,27th Nov 92,,Action,GB
105,,Ghostbusters II,,,,,,,01st Dec 90,,Action,GB
106,,Gift,,,,,,,31st Aug 01,,Action,GB
107,,Go! Go! Tank,,,,,,,02nd Jan 91,,Action,GB
108,,Godzilla The Series,,,,,,,01st Nov 99,,Action,GB
109,,Godzilla The Series: Monster Wars,,,,,,,20th Nov 00,,Action,GB
110,,Grand Theft Auto,,,,,,,01st Jan 99,,Action,GB
111,,Gremlins: Unleashed,,,,,,,23rd Sep 01,,Action,GB
112,,Hands of Time,,,,,,,02nd Oct 01,,Action,GB
113,,Heiankyo Alien,,,,,,,01st Apr 90,,Action,GB
114,,Heisei Tensai Bakabon,,,,,,,28th Feb 92,,Action,GB
115,,Hero Hero Kun,,,,,,,09th Feb 01,,Action,GB
116,,Home Alone,,,,,,,01st Nov 91,,Action,GB
117,,Home Alone 2: Lost in New York,,,,,,,01st Oct 92,,Action,GB
118,,Jagainu-kun,,,,,,,24th Mar 00,,Action,GB
119,,James Bond 007,,,,,,,01st Feb 98,,Action,GB
120,,Janken Man,,,,,,,27th Dec 91,,Action,GB
121,,Joshua & the Battle of Jericho,,,,,,,01st Jan 93,,Action,GB
122,,Jungle no Ouja Tachan,,,,,,,29th Jul 94,,Action,GB
123,,Jurassic Park,,,,,,,01st Aug 93,,Action,GB
124,,Kaijuu-On Godzilla,,,,,,,17th Dec 93,,Action,GB
125,,Kamen Rider SD,,,,,,,20th Aug 93,,Action,GB
126,,Kenyuu Densetsu Yaiba,,,,,,,25th Mar 94,,Action,GB
127,,Kingdom Crusade,,,,,,,02nd Jan 92,,Action,GB
128,,Kitchen Panic,,,,,,,10th May 91,,Action,GB
129,,Kung Fu Master,,,,,,,01st Feb 91,,Action,GB
130,,Last Action Hero,,,,,,,01st Oct 93,,Action,GB
131,,Lazlo's Leap,,,,,,,13th Dec 92,,Action,GB
132,,LEGO Alpha Team,,,,,,,01st Nov 00,,Action,GB
133,,Lethal Weapon,,,,,,,02nd Jan 92,,Action,GB
134,,Little Nicky,,,,,,,01st Dec 00,,Action,GB
135,,Lunar Lander,,,,,,,21st Sep 90,,Action,GB
136,,Magical * Taruruuto-kun,,,,,,,15th Jun 91,,Action,GB
137,,Magical * Taruruuto-kun 2: Raiba Zone Panic!!,,,,,,,10th Jul 92,,Action,GB
138,,Maru's Mission,,,,,,,01st Mar 91,,Action,GB
139,,Marvin Strikes Back!,,,,,,,23rd Nov 00,,Action,GB
140,,Mary-Kate and Ashley: Crush Course,,,,,,,01st Nov 01,,Action,GB
141,,Master Karateka,,,,,,,28th Dec 89,,Action,GB
142,,Maya the Bee and Her Friends,,,,,,,01st Jan 00,,Action,GB
143,,Maya the Bee: Garden Adventures,,,,,,,17th Nov 00,,Action,GB
144,,Mega Man III,,,,,,,11th Dec 92,,Action,GB
145,,Mega Man IV,,,,,,,08th Dec 93,,Action,GB
146,,Men in Black 2: The Series,,,,,,,09th Jul 00,,Action,GB
147,,Men in Black: The Series,,,,,,,15th Jun 00,,Action,GB
148,,Metal Gear Solid,,,,,,,24th Apr 00,,Action,GB
149,,Mickey's Ultimate Challenge,,,,,,,01st May 94,,Action,GB
150,,Mighty Morphin Power Rangers: The Movie,,,,,,,01st Aug 95,,Action,GB
151,,Momotarou Dengeki 2: Momotaro Thunderbolt,,,,,,,16th Dec 94,,Action,GB
152,,Momotarou Dengeki: Momotaro Thunderbolt,,,,,,,08th Aug 93,,Action,GB
153,,Monster Max,,,,,,,02nd Jan 95,,Action,GB
154,,Monster Rancher Battle Card GB,,,,,,,23rd Dec 99,,Action,GB
155,,Monster Rancher Explorer,,,,,,,01st Oct 00,,Action,GB
156,,"Monsters, Inc.",,,,,,,19th Oct 01,,Action,GB
157,,Mouse Trap Hotel,,,,,,,02nd Jan 92,,Action,GB
158,,Mr. Chin's Gourmet Paradise,,,,,,,02nd Jan 90,,Action,GB
159,,Mr. Do!,,,,,,,01st Nov 92,,Action,GB
160,,Nail 'N Scale,,,,,,,01st Apr 92,,Action,GB
